municipality_code,municipality,date,population_density,population,area_m2
08237045GEMI,Loßburg,2022-12-31,98,7746,79247046
08237045GEMI,Loßburg,2023-12-31,98,7790,79246811
08237045GEMI,Loßburg,2024-12-31,100,7919,79246810
08237054GEMI,Pfalzgrafenweiler,2022-12-31,160,7163,44694487
08237054GEMI,Pfalzgrafenweiler,2023-12-31,162,7247,44694489
08237054GEMI,Pfalzgrafenweiler,2024-12-31,163,7286,44694484
08237061GEMI,Schopfloch,2022-12-31,152,2584,17034164
08237061GEMI,Schopfloch,2023-12-31,152,2596,17034166
08237061GEMI,Schopfloch,2024-12-31,153,2598,17034167
08237072GEMI,Wörnersberg,2022-12-31,61,212,3478387
08237072GEMI,Wörnersberg,2023-12-31,61,213,3478387
08237072GEMI,Wörnersberg,2024-12-31,62,214,3478388
08237073GEMI,Seewald,2022-12-31,37,2155,58487661
08237073GEMI,Seewald,2023-12-31,37,2139,58487660
08237073GEMI,Seewald,2024-12-31,36,2111,58487660
08237074GEMI,Waldachtal,2022-12-31,210,6275,29865621
08237074GEMI,Waldachtal,2023-12-31,211,6297,29865622
08237074GEMI,Waldachtal,2024-12-31,212,6346,29865622
08237075GEMI,Bad Rippoldsau-Schapbach,2022-12-31,28,2073,73148261
08237075GEMI,Bad Rippoldsau-Schapbach,2023-12-31,28,2041,73148261
08237075GEMI,Bad Rippoldsau-Schapbach,2024-12-31,28,2035,73148241
08311000GEMI,"Freiburg im Breisgau, Stadt",2022-12-31,1536,235003,153039713
08311000GEMI,"Freiburg im Breisgau, Stadt",2023-12-31,1544,236236,153039716
08311000GEMI,"Freiburg im Breisgau, Stadt",2024-12-31,1552,237460,153039723
08315003GEMI,Au,2022-12-31,374,1494,3995746
08315003GEMI,Au,2023-12-31,377,1508,3995746
08315003GEMI,Au,2024-12-31,376,1501,3995746
08315004GEMI,Auggen,2022-12-31,200,2837,14151550
08315004GEMI,Auggen,2023-12-31,200,2826,14151547
08315004GEMI,Auggen,2024-12-31,198,2797,14151545
08315006GEMI,"Bad Krozingen, Stadt",2022-12-31,603,21503,35685504
08315006GEMI,"Bad Krozingen, Stadt",2023-12-31,611,21791,35685503
08315006GEMI,"Bad Krozingen, Stadt",2024-12-31,610,21755,35685497
08315007GEMI,Badenweiler,2022-12-31,355,4624,13028213
08315007GEMI,Badenweiler,2023-12-31,355,4628,13028212
08315007GEMI,Badenweiler,2024-12-31,355,4629,13028210
08315008GEMI,Ballrechten-Dottingen,2022-12-31,367,2426,6612139
08315008GEMI,Ballrechten-Dottingen,2023-12-31,368,2435,6612140
08315008GEMI,Ballrechten-Dottingen,2024-12-31,376,2485,6612138
08315013GEMI,Bötzingen,2022-12-31,427,5545,12995353
08315013GEMI,Bötzingen,2023-12-31,429,5576,12995355
08315013GEMI,Bötzingen,2024-12-31,427,5544,12995352
08315014GEMI,Bollschweil,2022-12-31,139,2281,16427040
08315014GEMI,Bollschweil,2023-12-31,141,2318,16427041
08315014GEMI,Bollschweil,2024-12-31,141,2324,16427039
08315015GEMI,"Breisach am Rhein, Stadt",2022-12-31,293,16006,54586819
08315015GEMI,"Breisach am Rhein, Stadt",2023-12-31,297,16222,54586802
08315015GEMI,"Breisach am Rhein, Stadt",2024-12-31,302,16487,54586797
08315016GEMI,Breitnau,2022-12-31,46,1835,39895736
08315016GEMI,Breitnau,2023-12-31,45,1814,39895735
08315016GEMI,Breitnau,2024-12-31,46,1850,39895726
08315020GEMI,Buchenbach,2022-12-31,81,3151,38982254
08315020GEMI,Buchenbach,2023-12-31,81,3156,38982260
08315020GEMI,Buchenbach,2024-12-31,81,3144,38982251
08315022GEMI,Buggingen,2022-12-31,288,4415,15313509
08315022GEMI,Buggingen,2023-12-31,289,4428,15313509
08315022GEMI,Buggingen,2024-12-31,291,4449,15313505
08315028GEMI,Ebringen,2022-12-31,340,2784,8177212
08315028GEMI,Ebringen,2023-12-31,347,2834,8177214
08315028GEMI,Ebringen,2024-12-31,350,2859,8177213
08315030GEMI,Eichstetten am Kaiserstuhl,2022-12-31,302,3714,12299732
08315030GEMI,Eichstetten am Kaiserstuhl,2023-12-31,306,3767,12299732
08315030GEMI,Eichstetten am Kaiserstuhl,2024-12-31,307,3780,12299739
08315031GEMI,Eisenbach (Hochschwarzwald),2022-12-31,74,2138,28773508
08315031GEMI,Eisenbach (Hochschwarzwald),2023-12-31,75,2158,28773507
08315031GEMI,Eisenbach (Hochschwarzwald),2024-12-31,74,2138,28773509
08315033GEMI,Eschbach,2022-12-31,245,2457,10026351
08315033GEMI,Eschbach,2023-12-31,244,2442,10026351
08315033GEMI,Eschbach,2024-12-31,246,2464,10026348
08315037GEMI,Feldberg (Schwarzwald),2022-12-31,78,1943,24974912
08315037GEMI,Feldberg (Schwarzwald),2023-12-31,78,1959,24974915
08315037GEMI,Feldberg (Schwarzwald),2024-12-31,78,1956,24974909
08315039GEMI,Friedenweiler,2022-12-31,75,2040,27062797
08315039GEMI,Friedenweiler,2023-12-31,75,2038,27062797
08315039GEMI,Friedenweiler,2024-12-31,75,2035,27062798
08315041GEMI,Glottertal,2022-12-31,105,3224,30744641
08315041GEMI,Glottertal,2023-12-31,105,3222,30744653
08315041GEMI,Glottertal,2024-12-31,105,3225,30744654
08315043GEMI,Gottenheim,2022-12-31,352,3077,8745668
08315043GEMI,Gottenheim,2023-12-31,353,3084,8745669
08315043GEMI,Gottenheim,2024-12-31,361,3156,8745669
08315047GEMI,Gundelfingen,2022-12-31,843,12042,14287484
08315047GEMI,Gundelfingen,2023-12-31,848,12120,14287510
08315047GEMI,Gundelfingen,2024-12-31,852,12168,14287512
08315048GEMI,Hartheim am Rhein,2022-12-31,188,4890,26050965
08315048GEMI,Hartheim am Rhein,2023-12-31,190,4940,26050980
08315048GEMI,Hartheim am Rhein,2024-12-31,188,4887,26050972
08315050GEMI,"Heitersheim, Stadt",2022-12-31,548,6420,11712674
08315050GEMI,"Heitersheim, Stadt",2023-12-31,551,6452,11712674
08315050GEMI,"Heitersheim, Stadt",2024-12-31,562,6577,11712670
08315051GEMI,Heuweiler,2022-12-31,286,1153,4027434
08315051GEMI,Heuweiler,2023-12-31,285,1149,4027401
08315051GEMI,Heuweiler,2024-12-31,288,1159,4027404
08315052GEMI,Hinterzarten,2022-12-31,75,2507,33368979
08315052GEMI,Hinterzarten,2023-12-31,75,2494,33368977
08315052GEMI,Hinterzarten,2024-12-31,75,2510,33368972
08315056GEMI,Horben,2022-12-31,138,1204,8751878
08315056GEMI,Horben,2023-12-31,137,1199,8751880
08315056GEMI,Horben,2024-12-31,138,1204,8751879
08315059GEMI,Ihringen,2022-12-31,271,6231,22999311
08315059GEMI,Ihringen,2023-12-31,274,6303,22999324
08315059GEMI,Ihringen,2024-12-31,274,6308,22999308
08315064GEMI,Kirchzarten,2022-12-31,479,10122,21133316
08315064GEMI,Kirchzarten,2023-12-31,482,10193,21133312
08315064GEMI,Kirchzarten,2024-12-31,486,10266,21133311
08315068GEMI,Lenzkirch,2022-12-31,89,5174,57915563
08315068GEMI,Lenzkirch,2023-12-31,90,5206,57915559
08315068GEMI,Lenzkirch,2024-12-31,90,5201,57915546
08315070GEMI,"Löffingen, Stadt",2022-12-31,88,7721,88021653
08315070GEMI,"Löffingen, Stadt",2023-12-31,88,7769,88021653
08315070GEMI,"Löffingen, Stadt",2024-12-31,87,7692,88021649
08315072GEMI,Merdingen,2022-12-31,180,2588,14396811
08315072GEMI,Merdingen,2023-12-31,185,2660,14396800
08315072GEMI,Merdingen,2024-12-31,185,2668,14396816
08315073GEMI,Merzhausen,2022-12-31,1927,5324,2762389
08315073GEMI,Merzhausen,2023-12-31,2035,5622,2762389
08315073GEMI,Merzhausen,2024-12-31,2021,5584,2762365
08315074GEMI,"Müllheim im Markgräflerland, Stadt",2022-12-31,340,19694,57912076
08315074GEMI,"Müllheim im Markgräflerland, Stadt",2023-12-31,345,19988,57912073
08315074GEMI,"Müllheim im Markgräflerland, Stadt",2024-12-31,347,20097,57912044
08315076GEMI,"Neuenburg am Rhein, Stadt",2022-12-31,287,12675,44099270
08315076GEMI,"Neuenburg am Rhein, Stadt",2023-12-31,289,12732,44099262
08315076GEMI,"Neuenburg am Rhein, Stadt",2024-12-31,288,12690,44099251
08315084GEMI,Oberried,2022-12-31,43,2877,66317262
08315084GEMI,Oberried,2023-12-31,43,2832,66317262
08315084GEMI,Oberried,2024-12-31,42,2773,66317246
08315089GEMI,Pfaffenweiler,2022-12-31,720,2598,3606003
08315089GEMI,Pfaffenweiler,2023-12-31,709,2557,3606002
08315089GEMI,Pfaffenweiler,2024-12-31,722,2604,3606001
08315094GEMI,St. Märgen,2022-12-31,58,1947,33317914
08315094GEMI,St. Märgen,2023-12-31,60,1998,33317914
08315094GEMI,St. Märgen,2024-12-31,60,1993,33317909
08315095GEMI,St. Peter,2022-12-31,75,2698,35934632
08315095GEMI,St. Peter,2023-12-31,75,2707,35934624
08315095GEMI,St. Peter,2024-12-31,76,2727,35934622
08315098GEMI,Schallstadt,2022-12-31,331,6481,19557427
08315098GEMI,Schallstadt,2023-12-31,348,6800,19557425
08315098GEMI,Schallstadt,2024-12-31,355,6937,19557421
08315102GEMI,Schluchsee,2022-12-31,37,2590,69431137
08315102GEMI,Schluchsee,2023-12-31,37,2576,69431138
08315102GEMI,Schluchsee,2024-12-31,37,2577,69431123
08315107GEMI,Sölden,2022-12-31,333,1268,3802215
08315107GEMI,Sölden,2023-12-31,334,1270,3802217
08315107GEMI,Sölden,2024-12-31,334,1271,3802218
08315108GEMI,"Staufen im Breisgau, Stadt",2022-12-31,362,8449,23319384
08315108GEMI,"Staufen im Breisgau, Stadt",2023-12-31,365,8500,23319382
08315108GEMI,"Staufen im Breisgau, Stadt",2024-12-31,363,8459,23319387
08315109GEMI,Stegen,2022-12-31,165,4350,26317103
08315109GEMI,Stegen,2023-12-31,168,4433,26317104
08315109GEMI,Stegen,2024-12-31,168,4413,26317098
08315111GEMI,"Sulzburg, Stadt",2022-12-31,120,2734,22739243
08315111GEMI,"Sulzburg, Stadt",2023-12-31,120,2721,22739245
08315111GEMI,"Sulzburg, Stadt",2024-12-31,123,2794,22739237
08315113GEMI,"Titisee-Neustadt, Stadt",2022-12-31,143,12845,89637534
08315113GEMI,"Titisee-Neustadt, Stadt",2023-12-31,144,12869,89637540
08315113GEMI,"Titisee-Neustadt, Stadt",2024-12-31,143,12797,89637531
08315115GEMI,Umkirch,2022-12-31,660,5752,8721245
08315115GEMI,Umkirch,2023-12-31,659,5751,8721245
08315115GEMI,Umkirch,2024-12-31,660,5755,8721242
08315125GEMI,Wittnau,2022-12-31,289,1459,5044359
08315125GEMI,Wittnau,2023-12-31,292,1475,5044360
08315125GEMI,Wittnau,2024-12-31,291,1470,5044361
08315130GEMI,Münstertal/Schwarzwald,2022-12-31,75,5088,67739992
08315130GEMI,Münstertal/Schwarzwald,2023-12-31,75,5065,67739993
08315130GEMI,Münstertal/Schwarzwald,2024-12-31,74,5043,67739978
08315131GEMI,Ehrenkirchen,2022-12-31,205,7748,37760078
08315131GEMI,Ehrenkirchen,2023-12-31,208,7850,37760079
08315131GEMI,Ehrenkirchen,2024-12-31,207,7813,37760070
08315132GEMI,March,2022-12-31,520,9249,17788638
08315132GEMI,March,2023-12-31,522,9292,17788637
08315132GEMI,March,2024-12-31,523,9309,17788639
08315133GEMI,"Vogtsburg im Kaiserstuhl, Stadt",2022-12-31,168,6259,37363171
08315133GEMI,"Vogtsburg im Kaiserstuhl, Stadt",2023-12-31,167,6248,37363170
08315133GEMI,"Vogtsburg im Kaiserstuhl, Stadt",2024-12-31,167,6234,37363147
08316002GEMI,Bahlingen am Kaiserstuhl,2022-12-31,350,4428,12657707
08316002GEMI,Bahlingen am Kaiserstuhl,2023-12-31,357,4525,12657709
08316002GEMI,Bahlingen am Kaiserstuhl,2024-12-31,359,4538,12657699
08316003GEMI,Biederbach,2022-12-31,55,1720,31352378
08316003GEMI,Biederbach,2023-12-31,56,1746,31352375
08316003GEMI,Biederbach,2024-12-31,56,1751,31352373
08316009GEMI,Denzlingen,2022-12-31,808,13691,16940766
08316009GEMI,Denzlingen,2023-12-31,808,13682,16940776
08316009GEMI,Denzlingen,2024-12-31,810,13720,16940775
08316010GEMI,"Elzach, Stadt",2022-12-31,99,7416,75277947
08316010GEMI,"Elzach, Stadt",2023-12-31,100,7546,75277951
08316010GEMI,"Elzach, Stadt",2024-12-31,100,7515,75277958
08316011GEMI,"Emmendingen, Stadt",2022-12-31,868,29330,33780133
08316011GEMI,"Emmendingen, Stadt",2023-12-31,874,29516,33780132
08316011GEMI,"Emmendingen, Stadt",2024-12-31,873,29502,33780111
08316012GEMI,"Endingen am Kaiserstuhl, Stadt",2022-12-31,381,10168,26701937
08316012GEMI,"Endingen am Kaiserstuhl, Stadt",2023-12-31,388,10351,26701939
08316012GEMI,"Endingen am Kaiserstuhl, Stadt",2024-12-31,389,10381,26701929
08316013GEMI,Forchheim,2022-12-31,130,1402,10779676
08316013GEMI,Forchheim,2023-12-31,130,1401,10779675
08316013GEMI,Forchheim,2024-12-31,131,1409,10779675
08316014GEMI,Gutach im Breisgau,2022-12-31,185,4584,24775125
08316014GEMI,Gutach im Breisgau,2023-12-31,185,4591,24775123
08316014GEMI,Gutach im Breisgau,2024-12-31,186,4599,24775121
08316017GEMI,"Herbolzheim, Stadt",2022-12-31,303,10756,35480088
08316017GEMI,"Herbolzheim, Stadt",2023-12-31,304,10786,35480088
08316017GEMI,"Herbolzheim, Stadt",2024-12-31,304,10783,35480104
08316020GEMI,"Kenzingen, Stadt",2022-12-31,288,10639,36929558
08316020GEMI,"Kenzingen, Stadt",2023-12-31,293,10804,36929557
08316020GEMI,"Kenzingen, Stadt",2024-12-31,291,10748,36929515
08316024GEMI,Malterdingen,2022-12-31,308,3429,11134580
08316024GEMI,Malterdingen,2023-12-31,306,3411,11134579
08316024GEMI,Malterdingen,2024-12-31,311,3467,11134574
08316036GEMI,Reute,2022-12-31,599,2871,4794023
08316036GEMI,Reute,2023-12-31,610,2922,4794024
08316036GEMI,Reute,2024-12-31,623,2986,4794021
08316037GEMI,Riegel am Kaiserstuhl,2022-12-31,218,3988,18330759
08316037GEMI,Riegel am Kaiserstuhl,2023-12-31,220,4041,18330758
08316037GEMI,Riegel am Kaiserstuhl,2024-12-31,221,4051,18330756
08316038GEMI,Sasbach am Kaiserstuhl,2022-12-31,164,3417,20776125
08316038GEMI,Sasbach am Kaiserstuhl,2023-12-31,167,3461,20776121
08316038GEMI,Sasbach am Kaiserstuhl,2024-12-31,168,3481,20776116
08316039GEMI,Sexau,2022-12-31,213,3477,16293804
08316039GEMI,Sexau,2023-12-31,216,3517,16293802
08316039GEMI,Sexau,2024-12-31,219,3568,16293802
08316042GEMI,Simonswald,2022-12-31,40,2942,74307715
08316042GEMI,Simonswald,2023-12-31,40,2946,74307709
08316042GEMI,Simonswald,2024-12-31,40,2936,74307693
08316043GEMI,Teningen,2022-12-31,294,11844,40255641
08316043GEMI,Teningen,2023-12-31,293,11800,40255649
08316043GEMI,Teningen,2024-12-31,295,11884,40255645
08316045GEMI,Vörstetten,2022-12-31,398,3136,7882057
08316045GEMI,Vörstetten,2023-12-31,402,3170,7882055
08316045GEMI,Vörstetten,2024-12-31,405,3196,7882053
08316049GEMI,Weisweil,2022-12-31,114,2181,19085107
08316049GEMI,Weisweil,2023-12-31,115,2198,19085110
08316049GEMI,Weisweil,2024-12-31,118,2243,19085105
08316051GEMI,Wyhl am Kaiserstuhl,2022-12-31,234,3960,16946136
08316051GEMI,Wyhl am Kaiserstuhl,2023-12-31,237,4013,16946134
08316051GEMI,Wyhl am Kaiserstuhl,2024-12-31,239,4050,16946132
08316053GEMI,Rheinhausen im Breisgau,2022-12-31,192,4219,22004689
08316053GEMI,Rheinhausen im Breisgau,2023-12-31,197,4327,22004688
08316053GEMI,Rheinhausen im Breisgau,2024-12-31,197,4333,22004685
08316054GEMI,Freiamt,2022-12-31,80,4221,52895507
08316054GEMI,Freiamt,2023-12-31,80,4240,52895506
08316054GEMI,Freiamt,2024-12-31,80,4243,52895504
08316055GEMI,Winden im Elztal,2022-12-31,129,2841,21948346
08316055GEMI,Winden im Elztal,2023-12-31,135,2971,21948355
08316055GEMI,Winden im Elztal,2024-12-31,132,2893,21948350
08316056GEMI,"Waldkirch, Stadt",2022-12-31,440,21344,48470928
08316056GEMI,"Waldkirch, Stadt",2023-12-31,444,21505,48470930
08316056GEMI,"Waldkirch, Stadt",2024-12-31,444,21510,48470921
08317001GEMI,"Achern, Stadt",2022-12-31,401,26133,65242479
08317001GEMI,"Achern, Stadt",2023-12-31,404,26375,65242457
08317001GEMI,"Achern, Stadt",2024-12-31,410,26733,65242492
08317005GEMI,Appenweier,2022-12-31,273,10362,38017225
08317005GEMI,Appenweier,2023-12-31,272,10353,38017239
08317005GEMI,Appenweier,2024-12-31,273,10374,38017238
08317008GEMI,Bad Peterstal-Griesbach,2022-12-31,64,2622,41203822
08317008GEMI,Bad Peterstal-Griesbach,2023-12-31,63,2590,41203822
08317008GEMI,Bad Peterstal-Griesbach,2024-12-31,63,2583,41203827
08317009GEMI,Berghaupten,2022-12-31,262,2536,9684364
08317009GEMI,Berghaupten,2023-12-31,263,2543,9684365
08317009GEMI,Berghaupten,2024-12-31,262,2539,9684353
08317011GEMI,Biberach,2022-12-31,167,3735,22388915
08317011GEMI,Biberach,2023-12-31,169,3778,22388913
08317011GEMI,Biberach,2024-12-31,170,3799,22388906
08317021GEMI,Durbach,2022-12-31,154,4053,26313748
08317021GEMI,Durbach,2023-12-31,155,4090,26313731
08317021GEMI,Durbach,2024-12-31,157,4123,26313737
08317026GEMI,"Ettenheim, Stadt",2022-12-31,277,13522,48798448
08317026GEMI,"Ettenheim, Stadt",2023-12-31,279,13632,48798453
08317026GEMI,"Ettenheim, Stadt",2024-12-31,281,13722,48798387
08317029GEMI,Fischerbach,2022-12-31,84,1711,20291257
08317029GEMI,Fischerbach,2023-12-31,83,1691,20291259
08317029GEMI,Fischerbach,2024-12-31,84,1704,20291248
08317031GEMI,Friesenheim,2022-12-31,295,13742,46574320
08317031GEMI,Friesenheim,2023-12-31,299,13903,46574322
08317031GEMI,Friesenheim,2024-12-31,298,13858,46574344
08317034GEMI,"Gengenbach, Stadt",2022-12-31,181,11225,61899053
08317034GEMI,"Gengenbach, Stadt",2023-12-31,179,11090,61899051
08317034GEMI,"Gengenbach, Stadt",2024-12-31,179,11081,61899060
08317039GEMI,Gutach (Schwarzwaldbahn),2022-12-31,72,2295,31738772
08317039GEMI,Gutach (Schwarzwaldbahn),2023-12-31,72,2301,31738772
08317039GEMI,Gutach (Schwarzwaldbahn),2024-12-31,72,2279,31738762
08317040GEMI,"Haslach im Kinzigtal, Stadt",2022-12-31,385,7191,18672859
08317040GEMI,"Haslach im Kinzigtal, Stadt",2023-12-31,387,7231,18672857
08317040GEMI,"Haslach im Kinzigtal, Stadt",2024-12-31,385,7190,18672868
08317041GEMI,"Hausach, Stadt",2022-12-31,161,5813,36070771
08317041GEMI,"Hausach, Stadt",2023-12-31,160,5785,36070828
08317041GEMI,"Hausach, Stadt",2024-12-31,162,5851,36070825
08317046GEMI,Hofstetten,2022-12-31,99,1790,18156556
08317046GEMI,Hofstetten,2023-12-31,99,1791,18156543
08317046GEMI,Hofstetten,2024-12-31,99,1789,18156541
08317047GEMI,Hohberg,2022-12-31,282,8164,28946116
08317047GEMI,Hohberg,2023-12-31,284,8212,28946114
08317047GEMI,Hohberg,2024-12-31,283,8186,28946086
08317051GEMI,"Hornberg, Stadt",2022-12-31,77,4169,54449481
08317051GEMI,"Hornberg, Stadt",2023-12-31,76,4158,54449527
08317051GEMI,"Hornberg, Stadt",2024-12-31,76,4154,54449526
08317056GEMI,Kappelrodeck,2022-12-31,347,6225,17930170
08317056GEMI,Kappelrodeck,2023-12-31,353,6334,17930167
08317056GEMI,Kappelrodeck,2024-12-31,353,6324,17930143
08317057GEMI,"Kehl, Stadt",2022-12-31,518,38853,75070658
08317057GEMI,"Kehl, Stadt",2023-12-31,526,39458,75070662
08317057GEMI,"Kehl, Stadt",2024-12-31,527,39584,75070644
08317059GEMI,Kippenheim,2022-12-31,266,5540,20847692
08317059GEMI,Kippenheim,2023-12-31,265,5522,20847686
08317059GEMI,Kippenheim,2024-12-31,267,5559,20847686
08317065GEMI,"Lahr/Schwarzwald, Stadt",2022-12-31,711,49664,69839905
08317065GEMI,"Lahr/Schwarzwald, Stadt",2023-12-31,716,50018,69839916
08317065GEMI,"Lahr/Schwarzwald, Stadt",2024-12-31,727,50775,69839901
08317067GEMI,Lautenbach,2022-12-31,92,1986,21544237
08317067GEMI,Lautenbach,2023-12-31,92,1980,21544223
08317067GEMI,Lautenbach,2024-12-31,92,1991,21544223
08317068GEMI,Lauf,2022-12-31,266,3996,15000778
08317068GEMI,Lauf,2023-12-31,269,4029,15000772
08317068GEMI,Lauf,2024-12-31,268,4021,15000777
08317073GEMI,"Mahlberg, Stadt",2022-12-31,314,5208,16587191
08317073GEMI,"Mahlberg, Stadt",2023-12-31,315,5229,16587189
08317073GEMI,"Mahlberg, Stadt",2024-12-31,317,5254,16587186
08317075GEMI,Meißenheim,2022-12-31,192,4100,21346350
08317075GEMI,Meißenheim,2023-12-31,194,4132,21346351
08317075GEMI,Meißenheim,2024-12-31,194,4149,21346367
08317078GEMI,Mühlenbach,2022-12-31,53,1664,31220891
08317078GEMI,Mühlenbach,2023-12-31,53,1650,31220892
08317078GEMI,Mühlenbach,2024-12-31,52,1629,31220895
08317085GEMI,Nordrach,2022-12-31,50,1900,37754321
08317085GEMI,Nordrach,2023-12-31,52,1976,37754319
08317085GEMI,Nordrach,2024-12-31,52,1980,37754310
08317088GEMI,Oberharmersbach,2022-12-31,60,2436,40920423
08317088GEMI,Oberharmersbach,2023-12-31,59,2418,40920426
08317088GEMI,Oberharmersbach,2024-12-31,59,2397,40920424
08317089GEMI,"Oberkirch, Stadt",2022-12-31,286,19749,69095073
08317089GEMI,"Oberkirch, Stadt",2023-12-31,288,19898,69095077
08317089GEMI,"Oberkirch, Stadt",2024-12-31,287,19847,69095088
08317093GEMI,Oberwolfach,2022-12-31,50,2541,51255972
08317093GEMI,Oberwolfach,2023-12-31,49,2532,51255917
08317093GEMI,Oberwolfach,2024-12-31,49,2527,51255919
08317096GEMI,"Offenburg, Stadt",2022-12-31,799,62588,78365709
08317096GEMI,"Offenburg, Stadt",2023-12-31,805,63110,78365735
08317096GEMI,"Offenburg, Stadt",2024-12-31,804,62993,78365722
08317097GEMI,Ohlsbach,2022-12-31,299,3336,11141966
08317097GEMI,Ohlsbach,2023-12-31,301,3354,11141967
08317097GEMI,Ohlsbach,2024-12-31,302,3368,11141966
08317098GEMI,"Oppenau, Stadt",2022-12-31,67,4887,72975198
08317098GEMI,"Oppenau, Stadt",2023-12-31,67,4866,72975201
08317098GEMI,"Oppenau, Stadt",2024-12-31,66,4815,72975205
08317100GEMI,Ortenberg,2022-12-31,615,3477,5657122
08317100GEMI,Ortenberg,2023-12-31,615,3478,5657120
08317100GEMI,Ortenberg,2024-12-31,628,3553,5657119
08317102GEMI,Ottenhöfen im Schwarzwald,2022-12-31,123,3112,25261275
08317102GEMI,Ottenhöfen im Schwarzwald,2023-12-31,121,3056,25261291
08317102GEMI,Ottenhöfen im Schwarzwald,2024-12-31,122,3082,25261318
08317110GEMI,"Renchen, Stadt",2022-12-31,233,7484,32082713
08317110GEMI,"Renchen, Stadt",2023-12-31,234,7506,32082700
08317110GEMI,"Renchen, Stadt",2024-12-31,236,7582,32082652
08317113GEMI,Ringsheim,2022-12-31,220,2492,11308126
08317113GEMI,Ringsheim,2023-12-31,229,2590,11308126
08317113GEMI,Ringsheim,2024-12-31,234,2645,11308128
08317114GEMI,Rust,2022-12-31,362,4800,13272293
08317114GEMI,Rust,2023-12-31,374,4964,13272327
08317114GEMI,Rust,2024-12-31,367,4865,13272323
08317116GEMI,Sasbach,2022-12-31,320,5355,16729684
08317116GEMI,Sasbach,2023-12-31,321,5371,16729693
08317116GEMI,Sasbach,2024-12-31,320,5357,16729688
08317118GEMI,Sasbachwalden,2022-12-31,144,2602,18129243
08317118GEMI,Sasbachwalden,2023-12-31,140,2545,18129272
08317118GEMI,Sasbachwalden,2024-12-31,140,2538,18129300
08317121GEMI,Schuttertal,2022-12-31,64,3203,50267167
08317121GEMI,Schuttertal,2023-12-31,64,3194,50267166
08317121GEMI,Schuttertal,2024-12-31,63,3170,50267162
08317122GEMI,Schutterwald,2022-12-31,344,7242,21035430
08317122GEMI,Schutterwald,2023-12-31,347,7301,21035426
08317122GEMI,Schutterwald,2024-12-31,348,7320,21035273
08317126GEMI,Seebach,2022-12-31,75,1432,19041853
08317126GEMI,Seebach,2023-12-31,75,1420,19041852
08317126GEMI,Seebach,2024-12-31,74,1410,19041809
08317127GEMI,Seelbach,2022-12-31,162,4824,29832726
08317127GEMI,Seelbach,2023-12-31,161,4797,29832724
08317127GEMI,Seelbach,2024-12-31,162,4828,29832719
08317129GEMI,Steinach,2022-12-31,120,4004,33321601
08317129GEMI,Steinach,2023-12-31,120,3988,33321616
08317129GEMI,Steinach,2024-12-31,118,3941,33321608
08317141GEMI,Willstätt,2022-12-31,180,9927,55269892
08317141GEMI,Willstätt,2023-12-31,180,9975,55269891
08317141GEMI,Willstätt,2024-12-31,183,10124,55269904
08317145GEMI,"Wolfach, Stadt",2022-12-31,83,5611,67975215
08317145GEMI,"Wolfach, Stadt",2023-12-31,83,5633,67975217
08317145GEMI,"Wolfach, Stadt",2024-12-31,82,5571,67975216
08317146GEMI,"Zell am Harmersbach, Stadt",2022-12-31,223,8108,36413807
08317146GEMI,"Zell am Harmersbach, Stadt",2023-12-31,225,8186,36413802
08317146GEMI,"Zell am Harmersbach, Stadt",2024-12-31,223,8129,36413802
08317150GEMI,Schwanau,2022-12-31,182,6974,38348431
08317150GEMI,Schwanau,2023-12-31,184,7063,38348428
08317150GEMI,Schwanau,2024-12-31,184,7054,38348428
08317151GEMI,Neuried,2022-12-31,171,9864,57841993
08317151GEMI,Neuried,2023-12-31,170,9848,57841988
08317151GEMI,Neuried,2024-12-31,171,9919,57842122
08317152GEMI,Kappel-Grafenhausen,2022-12-31,203,5233,25715868
08317152GEMI,Kappel-Grafenhausen,2023-12-31,203,5228,25715835
08317152GEMI,Kappel-Grafenhausen,2024-12-31,204,5246,25715858
08317153GEMI,"Rheinau, Stadt",2022-12-31,154,11288,73504447
08317153GEMI,"Rheinau, Stadt",2023-12-31,154,11310,73504446
08317153GEMI,"Rheinau, Stadt",2024-12-31,154,11346,73504455
08325001GEMI,Aichhalden,2022-12-31,164,4225,25748388
08325001GEMI,Aichhalden,2023-12-31,164,4219,25748387
08325001GEMI,Aichhalden,2024-12-31,164,4225,25748386
08325009GEMI,Bösingen,2022-12-31,151,3391,22446195
08325009GEMI,Bösingen,2023-12-31,152,3408,22446197
08325009GEMI,Bösingen,2024-12-31,153,3428,22446196
08325011GEMI,Dietingen,2022-12-31,99,4184,42263208
08325011GEMI,Dietingen,2023-12-31,99,4189,42263207
08325011GEMI,Dietingen,2024-12-31,99,4204,42263210
08325012GEMI,"Dornhan, Stadt",2022-12-31,138,6212,44914903
08325012GEMI,"Dornhan, Stadt",2023-12-31,138,6193,44914905
08325012GEMI,"Dornhan, Stadt",2024-12-31,138,6219,44914904
08325014GEMI,Dunningen,2022-12-31,132,6407,48447423
08325014GEMI,Dunningen,2023-12-31,134,6478,48447338
08325014GEMI,Dunningen,2024-12-31,133,6448,48447813
08325015GEMI,Epfendorf,2022-12-31,107,3171,29675815
08325015GEMI,Epfendorf,2023-12-31,106,3160,29675818
08325015GEMI,Epfendorf,2024-12-31,105,3106,29675818
