statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
11111;Feststellung des Gebietsstands;STAG;Stichtag;2024-12-31;REGI;Regionen;0821REGI;Region Karlsruhe;493;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2023-12-31;REGI;Regionen;0843REGI;Region Bodensee-Oberschwaben;3501084131;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2023-12-31;REGI;Regionen;0843REGI;Region Bodensee-Oberschwaben;184;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2024-12-31;REGI;Regionen;0811REGI;Region Stuttgart;3653570353;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2024-12-31;REGI;Regionen;0811REGI;Region Stuttgart;761;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2023-12-31;REGI;Regionen;0833REGI;Region Hochrhein-Bodensee;2755788062;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2023-12-31;REGI;Regionen;0833REGI;Region Hochrhein-Bodensee;254;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2023-12-31;REGI;Regionen;0823REGI;Region Nordschwarzwald;2339280114;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2023-12-31;REGI;Regionen;0823REGI;Region Nordschwarzwald;264;EW/km²;FLC106;Bevölkerungsdichte
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;REGI;Regionen;0841REGI;Region Neckar-Alb;719621;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;REGI;Regionen;0813REGI;Region Ostwürttemberg;452504;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;REGI;Regionen;0831REGI;Region Südlicher Oberrhein;1121165;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;REGI;Regionen;0811REGI;Region Stuttgart;2777542;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2022-12-31;REGI;Regionen;0843REGI;Region Bodensee-Oberschwaben;639541;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;REGI;Regionen;0821REGI;Region Karlsruhe;1051429;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2022-12-31;REGI;Regionen;0823REGI;Region Nordschwarzwald;614435;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2024-12-31;REGI;Regionen;0842REGI;Region Donau-Iller;539651;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2022-12-31;REGI;Regionen;0813REGI;Region Ostwürttemberg;451109;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2022-12-31;REGI;Regionen;0833REGI;Region Hochrhein-Bodensee;695630;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2024-12-31;REGI;Regionen;0832REGI;Region Schwarzwald-Baar-Heuberg;499510;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2024-12-31;REGI;Regionen;0822REGI;Region Rhein-Neckar;1177615;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2022-12-31;REGI;Regionen;0841REGI;Region Neckar-Alb;715048;Anzahl;BEVSTD;Bevölkerungsstand
